日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,3949.09,4141.25,4152.8,3949.08,1610800000.0,21973070000.0,2.3595,206.8499999999999,5.25747255
2015-01-06,4118.48,4258.6,4324.98,4100.4,1828130000.0,26001540000.0,2.6779,117.35000000000036,2.83368548
2015-01-07,4234.24,4234.47,4244.48,4205.26,1097910000.0,15475840000.0,1.6082,-24.13000000000011,-0.56661814
2015-01-08,4229.21,4223.97,4260.26,4177.29,1162400000.0,15256120000.0,1.6974,-10.5,-0.24796492
2015-01-09,4216.6,4180.71,4280.78,4178.34,1123750000.0,15997400000.0,1.641,-43.26000000000022,-1.024155
2015-01-12,4167.08,4227.36,4234.09,4161.65,1018500000.0,14739520000.0,1.4873,46.649999999999636,1.11583918
2015-01-13,4223.58,4298.51,4323.99,4223.01,856730000.0,13472570000.0,1.2524,71.15000000000055,1.68308353
2015-01-14,4295.94,4231.44,4309.08,4218.85,729240000.0,10369300000.0,1.066,-67.07000000000062,-1.56030811
2015-01-15,4227.1,4266.19,4266.19,4212.85,713100000.0,10063780000.0,1.0425,34.75,0.82123343
2015-01-16,4271.45,4295.76,4313.27,4271.09,902390000.0,12103390000.0,1.3192,29.57000000000062,0.69312431
2015-01-19,4147.9,4053.93,4220.02,4000.52,1265070000.0,16881260000.0,1.8494,-241.83000000000038,-5.62950444
2015-01-20,4077.56,4192.36,4195.21,4077.48,1038420000.0,14720400000.0,1.518,138.42999999999984,3.41471116
2015-01-21,4212.23,4308.25,4311.23,4204.95,1187850000.0,16700920000.0,1.7365,115.89000000000033,2.76431413
2015-01-22,4325.9,4353.71,4361.38,4295.72,1233780000.0,17352730000.0,1.8033,45.460000000000036,1.05518482
2015-01-23,4362.77,4309.74,4377.81,4295.34,1039180000.0,14627990000.0,1.5188,-43.970000000000255,-1.00994324
2015-01-26,4319.17,4364.74,4364.88,4306.45,1002590000.0,13428490000.0,1.4654,55.0,1.27617907
2015-01-27,4376.95,4434.35,4461.48,4364.2,1499480000.0,19955950000.0,2.1901,69.61000000000058,1.59482581
2015-01-28,4415.13,4385.77,4442.32,4367.32,1153330000.0,15329450000.0,1.6846,-48.57999999999993,-1.09553824
2015-01-29,4352.9,4332.63,4354.07,4305.96,862050000.0,11644120000.0,1.259,-53.14000000000033,-1.21164585
2015-01-30,4338.36,4266.91,4364.61,4266.75,792800000.0,11308540000.0,1.1578,-65.72000000000025,-1.51686158
2015-02-02,4225.35,4231.8,4264.46,4202.95,717550000.0,10378850000.0,1.0479,-35.10999999999967,-0.8228437
2015-02-03,4265.3,4316.26,4317.77,4257.13,849330000.0,12054040000.0,1.2404,84.46000000000004,1.99584101
2015-02-04,4338.17,4296.45,4370.7,4293.62,932970000.0,13611720000.0,1.3625,-19.8100000000004,-0.45896216
2015-02-05,4337.22,4255.25,4345.95,4254.65,923040000.0,13212280000.0,1.348,-41.19999999999982,-0.95893121
2015-02-06,4258.58,4192.46,4276.56,4167.35,791020000.0,11554630000.0,1.1552,-62.789999999999964,-1.47558898
2015-02-09,4196.86,4206.16,4237.6,4195.53,666120000.0,9988360000.0,0.9727,13.699999999999818,0.32677712
