日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,4435.12,4473.75,4480.68,4387.18,2095600000.0,23762270000.0,2.881,49.8100000000004,1.12591943
2015-01-06,4460.28,4592.41,4600.72,4438.44,2344240000.0,29269350000.0,3.2228,118.65999999999985,2.65236099
2015-01-07,4572.71,4607.16,4614.09,4548.24,2101500000.0,25063260000.0,2.8891,14.75,0.32118212
2015-01-08,4618.89,4599.74,4659.19,4591.42,2223840000.0,26536040000.0,3.0573,-7.420000000000073,-0.16105366
2015-01-09,4586.16,4543.52,4622.45,4543.52,1871180000.0,22347700000.0,2.5725,-56.219999999999345,-1.222243
2015-01-12,4515.47,4503.11,4543.52,4478.84,1428560000.0,16672880000.0,1.9634,-40.410000000000764,-0.88939853
2015-01-13,4504.94,4589.07,4589.07,4504.31,1355300000.0,17357350000.0,1.8627,85.96000000000004,1.90890296
2015-01-14,4596.56,4597.56,4623.19,4576.07,1368910000.0,18084070000.0,1.8815,8.490000000000691,0.1850048
2015-01-15,4600.76,4617.85,4618.49,4590.27,1219370000.0,15833630000.0,1.6736,20.289999999999964,0.44132105
2015-01-16,4651.64,4701.89,4723.49,4651.64,1945370000.0,24931000000.0,2.6665,84.03999999999996,1.81989454
2015-01-19,4591.41,4565.15,4724.6,4510.35,2176590000.0,28516510000.0,2.9835,-136.7400000000007,-2.90819224
2015-01-20,4583.23,4720.49,4720.49,4582.74,1817690000.0,24660840000.0,2.4915,155.34000000000015,3.40273595
2015-01-21,4741.85,4825.95,4825.95,4734.84,2242030000.0,29271490000.0,3.0725,105.46000000000004,2.23409011
2015-01-22,4835.44,4866.57,4872.35,4809.35,2055300000.0,26045300000.0,2.8166,40.61999999999989,0.84169956
2015-01-23,4875.9,4849.97,4892.12,4829.71,2524440000.0,31213020000.0,3.4596,-16.599999999999454,-0.34110267
2015-01-26,4845.51,4942.11,4942.11,4845.51,2257610000.0,28220590000.0,3.0939,92.13999999999942,1.89980557
2015-01-27,4949.45,4946.02,4968.53,4852.21,2183440000.0,27502530000.0,2.992,3.910000000000764,0.07911601
2015-01-28,4921.02,4908.45,4957.44,4894.25,1844040000.0,23398920000.0,2.5268,-37.57000000000062,-0.75960065
2015-01-29,4880.4,4892.66,4908.58,4857.0,1794290000.0,22247050000.0,2.4586,-15.789999999999964,-0.32169015
2015-01-30,4899.86,4803.73,4916.04,4803.06,1689220000.0,20772390000.0,2.3147,-88.93000000000029,-1.81762068
2015-02-02,4741.03,4737.77,4778.97,4718.53,1399140000.0,17424760000.0,1.9172,-65.95999999999913,-1.37309965
2015-02-03,4757.66,4802.07,4803.32,4749.95,1254410000.0,16259740000.0,1.7189,64.29999999999927,1.35717859
2015-02-04,4814.22,4785.48,4826.32,4783.9,1481840000.0,19734740000.0,2.03,-16.590000000000146,-0.34547601
2015-02-05,4823.88,4740.63,4825.51,4740.63,1657760000.0,21511190000.0,2.2726,-44.849999999999454,-0.93721006
2015-02-06,4734.63,4660.78,4752.75,4645.15,1323470000.0,17003180000.0,1.8144,-79.85000000000036,-1.68437528
2015-02-09,4653.88,4627.64,4680.77,4618.46,1092540000.0,13578620000.0,1.4978,-33.13999999999942,-0.71103978
2015-02-10,4633.43,4678.74,4678.74,4625.6,929580000.0,11593010000.0,1.2744,51.099999999999454,1.10423456
2015-02-11,4685.82,4722.48,4722.48,4683.3,923350000.0,12009060000.0,1.2658,43.73999999999978,0.93486708
2015-02-12,4723.84,4770.43,4773.31,4721.04,1064200000.0,14280460000.0,1.4589,47.95000000000073,1.01535634
2015-02-13,4794.92,4850.12,4870.39,4794.32,1437670000.0,18989800000.0,1.9657,79.6899999999996,1.67049931
2015-02-16,4858.79,4955.34,4955.34,4858.0,1660110000.0,20632220000.0,2.2695,105.22000000000025,2.16943086
2015-02-17,4978.63,4963.43,4985.0,4943.35,1444430000.0,18378370000.0,1.9746,8.090000000000146,0.16325822
2015-02-25,4978.99,4968.42,5004.94,4949.66,1448200000.0,18648160000.0,1.9757,4.989999999999782,0.10053532
2015-02-26,4966.26,5017.0,5017.0,4948.67,1564240000.0,19875590000.0,2.134,48.57999999999993,0.97777563
2015-02-27,5018.17,5081.98,5085.56,5017.0,1869470000.0,24501880000.0,2.55,64.97999999999956,1.29519633
2015-03-02,5127.95,5212.42,5212.42,5117.42,2252760000.0,31405840000.0,3.0728,130.4400000000005,2.56671612
2015-03-03,5207.68,5207.15,5291.22,5180.64,2670390000.0,37032750000.0,3.6376,-5.270000000000437,-0.10110467
2015-03-04,5218.32,5270.58,5270.58,5217.92,1954180000.0,27261410000.0,2.662,63.43000000000029,1.21813276
2015-03-05,5268.99,5267.96,5277.19,5222.91,2132330000.0,29630420000.0,2.8977,-2.619999999999891,-0.0497099
2015-03-06,5274.52,5212.1,5301.31,5211.23,1847480000.0,27571580000.0,2.5105,-55.85999999999967,-1.06037252
2015-03-09,5191.29,5274.24,5274.24,5149.06,1593090000.0,22936370000.0,2.1638,62.13999999999942,1.19222578
2015-03-10,5275.43,5348.19,5366.91,5268.89,1985970000.0,27962230000.0,2.6945,73.94999999999982,1.40209774
2015-03-11,5368.33,5371.88,5380.91,5346.91,1831710000.0,27231720000.0,2.4852,23.69000000000051,0.4429536
2015-03-12,5388.23,5355.88,5408.94,5322.94,2318080000.0,32592970000.0,3.148,-16.0,-0.29784731
2015-03-13,5364.36,5388.92,5388.92,5342.52,1651080000.0,24231810000.0,2.2422,33.039999999999964,0.61689209
2015-03-16,5413.28,5537.43,5537.43,5413.04,2217740000.0,33090580000.0,3.0115,148.51000000000022,2.75583976
2015-03-17,5568.46,5599.92,5628.87,5529.89,2744550000.0,41654790000.0,3.7235,62.48999999999978,1.12850185
2015-03-18,5620.51,5715.74,5715.74,5615.01,3031110000.0,43021350000.0,4.1123,115.81999999999971,2.06824383
2015-03-19,5718.86,5798.19,5798.19,5682.78,3194050000.0,46159780000.0,4.3069,82.44999999999982,1.44250788
2015-03-20,5812.76,5835.12,5864.1,5796.2,2810790000.0,42884790000.0,3.7891,36.93000000000029,0.6369229
2015-03-23,5871.76,5975.52,5975.52,5871.76,3022470000.0,46816070000.0,4.0646,140.40000000000055,2.40612018
2015-03-24,5994.2,6016.13,6022.25,5801.64,3659780000.0,58180530000.0,4.9202,40.60999999999967,0.67960613
2015-03-25,6009.91,6103.3,6131.69,5962.69,3162690000.0,52035860000.0,4.2519,87.17000000000007,1.4489381
2015-03-26,6082.51,6036.88,6146.44,5965.77,3055670000.0,50501890000.0,4.108,-66.42000000000007,-1.08826373
2015-03-27,6022.72,6158.1,6165.33,6014.69,2558510000.0,41933730000.0,3.4393,121.22000000000025,2.00799088
2015-03-30,6215.15,6287.75,6317.9,6215.15,3459240000.0,55657610000.0,4.6497,129.64999999999964,2.10535717
2015-03-31,6305.81,6306.88,6364.72,6238.22,3049730000.0,49748690000.0,4.0991,19.13000000000011,0.30424238
2015-04-01,6313.67,6597.84,6602.29,6313.23,3457160000.0,58181200000.0,4.6463,290.96000000000004,4.6133746
2015-04-02,6667.79,6781.76,6782.12,6644.74,4003330000.0,69745770000.0,5.3799,183.92000000000007,2.78757897
2015-04-03,6754.57,6872.84,6877.95,6712.77,3470360000.0,61112460000.0,4.6584,91.07999999999993,1.3430142
2015-04-07,6906.03,6980.8,6981.24,6898.49,3361250000.0,60941550000.0,4.5119,107.96000000000004,1.5708208
2015-04-08,7017.19,6923.01,7044.67,6791.18,4030860000.0,74094780000.0,5.4108,-57.789999999999964,-0.82784208
2015-04-09,6910.81,6791.24,6910.81,6570.8,3529130000.0,63074550000.0,4.7373,-131.77000000000044,-1.90336284
2015-04-10,6766.53,6972.39,6983.02,6731.77,2781680000.0,51850560000.0,3.734,181.15000000000055,2.66740684
2015-04-13,7020.41,7116.12,7142.93,6987.2,2927180000.0,57288490000.0,3.9173,143.72999999999956,2.06141653
2015-04-14,7150.1,7154.03,7234.27,7094.59,3674780000.0,66550400000.0,4.9057,37.909999999999854,0.53273413
2015-04-15,7142.61,6840.6,7142.61,6826.32,3338110000.0,59865960000.0,4.4611,-313.4299999999994,-4.38116698
2015-04-16,6787.73,7012.64,7072.32,6739.25,3108500000.0,55215130000.0,4.1542,172.03999999999996,2.51498407
2015-04-17,7132.81,7109.77,7187.05,7060.12,3624300000.0,67976450000.0,4.845,97.13000000000011,1.38507039
2015-04-20,7110.38,7037.64,7225.5,6985.92,4762210000.0,85564570000.0,6.3658,-72.13000000000011,-1.01451946
2015-04-21,7058.3,7230.1,7230.1,7013.02,3684110000.0,65392760000.0,4.9247,192.46000000000004,2.73472357
2015-04-22,7337.67,7497.94,7512.28,7337.67,3700380000.0,70651400000.0,4.9377,267.83999999999924,3.70451308
2015-04-23,7579.27,7565.82,7636.0,7495.17,4453430000.0,85951320000.0,5.9301,67.88000000000011,0.90531533
2015-04-24,7433.92,7521.56,7578.99,7350.99,3663470000.0,70041450000.0,4.8782,-44.25999999999931,-0.58499938
2015-04-27,7581.51,7593.6,7660.02,7491.88,3681250000.0,70849260000.0,4.9002,72.03999999999996,0.95778003
2015-04-28,7591.44,7274.46,7591.44,7225.39,3533200000.0,65980490000.0,4.7031,-319.1400000000003,-4.20274968
2015-04-29,7230.68,7391.61,7413.85,7196.97,2629140000.0,49944640000.0,3.4962,117.14999999999964,1.61042882
2015-04-30,7410.91,7437.42,7530.28,7410.91,2651220000.0,52351790000.0,3.4857,45.8100000000004,0.61975672
2015-05-04,7459.3,7560.41,7565.0,7386.25,2721870000.0,52082460000.0,3.5724,122.98999999999978,1.65366485
2015-05-05,7563.6,7304.52,7564.16,7268.94,2754920000.0,51386990000.0,3.6158,-255.88999999999942,-3.3846048
2015-05-06,7336.81,7200.8,7450.39,7136.52,2771820000.0,50330050000.0,3.5899,-103.72000000000025,-1.41994272
2015-05-07,7184.14,7038.31,7207.57,7036.67,2187250000.0,38631800000.0,2.8269,-162.48999999999978,-2.25655483
2015-05-08,7111.84,7310.6,7310.6,7108.98,2226160000.0,41295980000.0,2.8644,272.28999999999996,3.86868439
2015-05-11,7394.29,7686.02,7687.26,7352.41,3124880000.0,60331640000.0,3.9944,375.4200000000001,5.13528301
2015-05-12,7753.72,7918.89,7918.89,7752.87,3877910000.0,76205670000.0,4.9482,232.8699999999999,3.02978655
2015-05-13,7904.07,7913.12,8006.57,7845.32,4060150000.0,78947800000.0,5.18,-5.770000000000437,-0.07286375
2015-05-14,7915.97,8051.64,8096.24,7913.59,3648530000.0,72256730000.0,4.6156,138.52000000000044,1.75051054
2015-05-15,8032.48,7949.48,8046.4,7841.89,3020270000.0,61146620000.0,3.8204,-102.16000000000076,-1.26880983
2015-05-18,7956.82,8111.35,8174.45,7940.81,3035250000.0,62756980000.0,3.8386,161.8700000000008,2.03623382
2015-05-19,8144.66,8387.92,8387.99,8099.15,3339550000.0,68989710000.0,4.208,276.5699999999997,3.4096667
