日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,4069.05,4147.26,4157.26,4058.19,1515940000.0,17670410000.0,2.5581,79.12000000000035,1.94486915
2015-01-06,4118.09,4155.32,4155.32,4085.33,1365530000.0,15697750000.0,2.3043,8.05999999999949,0.19434518
2015-01-07,4150.05,4173.62,4181.06,4136.57,1341120000.0,15757340000.0,2.2631,18.300000000000182,0.4403993
2015-01-08,4163.09,4121.66,4169.6,4106.45,1401910000.0,15576630000.0,2.3657,-51.960000000000036,-1.24496241
2015-01-09,4105.65,4060.81,4144.68,4060.3,1192120000.0,13365640000.0,2.0117,-60.84999999999991,-1.47634691
2015-01-12,4051.27,4000.78,4051.68,3969.97,1084650000.0,11911230000.0,1.8303,-60.029999999999745,-1.4782765
2015-01-13,3995.27,4041.3,4041.98,3995.27,803900000.0,9240520000.0,1.3566,40.51999999999998,1.0128025
2015-01-14,4037.05,4020.32,4050.67,3997.76,799190000.0,9093000000.0,1.3486,-20.980000000000018,-0.51913988
2015-01-15,4024.84,4066.17,4066.17,4013.45,843110000.0,10129630000.0,1.4227,45.84999999999991,1.14045648
2015-01-16,4072.07,4098.9,4098.9,4055.12,1056310000.0,12264190000.0,1.7825,32.72999999999956,0.80493437
2015-01-19,3958.66,3882.68,4042.06,3840.24,1359820000.0,15325490000.0,2.2947,-216.2199999999998,-5.2750738
2015-01-20,3902.35,4001.61,4001.61,3902.35,1140460000.0,13290560000.0,1.9245,118.93000000000029,3.06309044
2015-01-21,4009.36,4127.17,4132.23,4009.3,1500560000.0,17897310000.0,2.5322,125.55999999999995,3.13773706
2015-01-22,4138.47,4215.09,4215.09,4137.61,1532630000.0,18378410000.0,2.5863,87.92000000000007,2.13027329
2015-01-23,4234.94,4187.88,4237.93,4166.61,1509550000.0,17983190000.0,2.5129,-27.210000000000036,-0.64553782
2015-01-26,4187.43,4330.2,4332.46,4178.93,1882400000.0,21818520000.0,3.1335,142.3199999999997,3.39837818
2015-01-27,4348.76,4367.86,4379.09,4298.3,2025080000.0,23908500000.0,3.371,37.659999999999854,0.86970579
2015-01-28,4353.98,4362.56,4402.92,4335.42,1672660000.0,19985020000.0,2.7811,-5.299999999999272,-0.12134089
2015-01-29,4318.81,4346.01,4380.78,4317.58,1485380000.0,17373340000.0,2.4697,-16.550000000000182,-0.37936441
2015-01-30,4347.65,4289.58,4374.41,4289.58,1226950000.0,14429840000.0,2.0401,-56.43000000000029,-1.29843236
2015-02-02,4244.73,4253.0,4294.5,4234.89,1263810000.0,14237720000.0,2.1014,-36.57999999999993,-0.85276414
2015-02-03,4267.71,4369.08,4369.08,4267.7,1403610000.0,16062370000.0,2.3338,116.07999999999993,2.72936751
2015-02-04,4381.31,4335.9,4392.2,4329.2,1465520000.0,18042920000.0,2.4367,-33.18000000000029,-0.75942761
2015-02-05,4378.13,4300.11,4388.27,4300.11,1490650000.0,17474780000.0,2.4785,-35.789999999999964,-0.82543417
2015-02-06,4294.51,4216.15,4298.25,4187.67,1380560000.0,16645490000.0,2.2955,-83.96000000000004,-1.95250819
2015-02-09,4215.94,4192.66,4232.19,4180.9,940390000.0,11288170000.0,1.5636,-23.48999999999978,-0.55714337
2015-02-10,4189.9,4248.47,4248.47,4185.62,821490000.0,10070260000.0,1.3659,55.8100000000004,1.33113584
2015-02-11,4250.62,4329.91,4334.22,4247.96,1103040000.0,13906290000.0,1.834,81.4399999999996,1.91692539
2015-02-12,4332.12,4373.8,4383.13,4323.6,1134210000.0,13727290000.0,1.8859,43.89000000000033,1.01364693
2015-02-13,4399.36,4447.09,4481.96,4399.15,1512600000.0,18866440000.0,2.515,73.28999999999996,1.67565961
2015-02-16,4469.91,4549.81,4549.81,4468.98,1435750000.0,17991850000.0,2.3872,102.72000000000025,2.30982508
2015-02-17,4568.35,4574.05,4591.07,4550.8,1299430000.0,16369960000.0,2.1606,24.23999999999978,0.5327695
2015-02-25,4592.57,4522.84,4592.57,4511.23,1127040000.0,14349500000.0,1.8739,-51.210000000000036,-1.11957674
2015-02-26,4522.37,4573.11,4573.11,4514.64,1265950000.0,15833110000.0,2.1049,50.26999999999953,1.11146978
2015-02-27,4572.52,4586.64,4603.76,4565.57,1198200000.0,15197940000.0,1.9923,13.530000000000655,0.29585993
2015-03-02,4623.19,4685.47,4685.47,4600.23,1856030000.0,23551980000.0,3.086,98.82999999999993,2.15473636
2015-03-03,4667.77,4655.04,4717.42,4648.24,1976180000.0,25431140000.0,3.2858,-30.43000000000029,-0.64945459
2015-03-04,4658.97,4754.29,4754.29,4658.91,1826850000.0,23615660000.0,3.0375,99.25,2.13209768
2015-03-05,4757.94,4816.77,4816.77,4743.72,2045050000.0,25884990000.0,3.4003,62.48000000000047,1.31418151
2015-03-06,4825.57,4786.29,4836.27,4768.16,1880620000.0,24127260000.0,3.1269,-30.480000000000473,-0.63278919
2015-03-09,4761.24,4819.82,4822.13,4727.43,1658110000.0,21156970000.0,2.7569,33.529999999999745,0.70054259
2015-03-10,4809.09,4878.79,4890.07,4808.91,1717140000.0,22173030000.0,2.8551,58.970000000000255,1.22348967
2015-03-11,4876.63,4881.93,4903.5,4863.26,1757310000.0,22419040000.0,2.9218,3.1400000000003274,0.06436022
2015-03-12,4878.93,4875.53,4905.99,4833.73,1642520000.0,21764140000.0,2.731,-6.400000000000546,-0.13109569
2015-03-13,4897.06,4944.25,4944.57,4897.06,1489660000.0,19708230000.0,2.4768,68.72000000000025,1.40948779
2015-03-16,4984.17,5125.26,5126.42,4979.5,2357750000.0,30914670000.0,3.9202,181.01000000000022,3.66102038
2015-03-17,5156.84,5165.66,5182.7,5103.16,2547740000.0,34044380000.0,4.2361,40.399999999999636,0.78825269
2015-03-18,5167.45,5281.96,5290.51,5155.23,2407790000.0,31600590000.0,4.0034,116.30000000000018,2.2514064
2015-03-19,5277.73,5297.02,5299.17,5237.4,2333470000.0,30498290000.0,3.8792,15.0600000000004,0.28512143
2015-03-20,5293.6,5352.39,5369.5,5287.05,2075030000.0,28990030000.0,3.4496,55.36999999999989,1.04530472
2015-03-23,5383.58,5467.05,5467.05,5371.52,2377930000.0,33999100000.0,3.9531,114.65999999999985,2.14222058
2015-03-24,5472.72,5537.6,5539.77,5338.07,2856980000.0,41499650000.0,4.7495,70.55000000000018,1.29045829
2015-03-25,5550.97,5617.11,5662.75,5519.78,2694740000.0,40527630000.0,4.4798,79.50999999999931,1.43582057
2015-03-26,5596.43,5584.45,5640.59,5508.85,2290570000.0,34743910000.0,3.8079,-32.659999999999854,-0.58143779
2015-03-27,5582.73,5643.65,5659.57,5567.05,1804120000.0,27055770000.0,2.999,59.19999999999982,1.06008649
2015-03-30,5653.77,5733.01,5746.93,5653.77,2202030000.0,32943790000.0,3.6601,89.36000000000058,1.58337246
2015-03-31,5739.17,5686.07,5762.82,5670.79,2130780000.0,31878040000.0,3.547,-46.94000000000051,-0.8187671
2015-04-01,5694.73,5788.78,5798.77,5680.88,2038920000.0,30284380000.0,3.3941,102.71000000000004,1.80634428
2015-04-02,5850.48,5940.03,5940.36,5850.48,2603340000.0,39371660000.0,4.3337,151.25,2.61281306
2015-04-03,5909.91,6045.2,6048.3,5881.21,2486890000.0,37989900000.0,4.1398,105.17000000000007,1.77052978
2015-04-07,6075.15,6159.51,6161.87,6064.24,2506310000.0,39691290000.0,4.1721,114.3100000000004,1.89092172
2015-04-08,6178.44,6101.55,6184.89,5997.91,2491930000.0,39781220000.0,4.1482,-57.960000000000036,-0.94098394
2015-04-09,6099.75,6073.24,6100.29,5875.5,2457190000.0,40362050000.0,4.0904,-28.3100000000004,-0.46398046
2015-04-10,6064.91,6258.75,6270.95,6042.79,2220200000.0,35784590000.0,3.6959,185.51000000000022,3.05454749
2015-04-13,6301.52,6389.53,6408.61,6270.97,2553120000.0,42687160000.0,4.173,130.77999999999975,2.08955462
2015-04-14,6392.85,6366.53,6445.34,6323.15,2387210000.0,40329550000.0,3.9019,-23.0,-0.35996388
2015-04-15,6335.69,6125.6,6335.69,6125.6,2048380000.0,32291430000.0,3.348,-240.92999999999938,-3.78432207
2015-04-16,6057.04,6176.7,6230.28,5990.28,1811060000.0,29605500000.0,2.9602,51.099999999999454,0.834204
2015-04-17,6215.04,6241.09,6264.83,6172.66,2169500000.0,34448440000.0,3.546,64.39000000000033,1.04246604
2015-04-20,6204.46,6058.95,6218.32,6038.24,2435980000.0,37763620000.0,3.9815,-182.14000000000033,-2.91840047
2015-04-21,6069.12,6240.89,6240.89,6069.12,2075030000.0,32418240000.0,3.3913,181.9400000000005,3.00283052
2015-04-22,6285.92,6432.16,6446.65,6285.81,2642850000.0,41107240000.0,4.3193,191.26999999999953,3.06478723
2015-04-23,6471.65,6553.78,6578.25,6441.82,2935350000.0,46091520000.0,4.7974,121.61999999999989,1.89081117
2015-04-24,6478.25,6518.89,6542.03,6414.06,2740830000.0,42717310000.0,4.4794,-34.88999999999942,-0.53236453
2015-04-27,6573.55,6602.32,6663.22,6549.51,2454560000.0,40179010000.0,4.0116,83.42999999999938,1.27981911
2015-04-28,6602.99,6374.94,6614.44,6317.84,2430320000.0,39381120000.0,3.972,-227.3800000000001,-3.44394092
2015-04-29,6375.23,6507.57,6534.39,6360.42,1687830000.0,28148680000.0,2.7585,132.6300000000001,2.08049017
2015-04-30,6541.24,6512.91,6583.75,6511.01,2045130000.0,34385360000.0,3.3424,5.3400000000001455,0.08205828
2015-05-04,6520.74,6563.16,6576.17,6441.08,1916220000.0,31110060000.0,3.1218,50.25,0.77154452
2015-05-05,6559.45,6373.24,6560.98,6348.93,2019500000.0,32407560000.0,3.29,-189.92000000000007,-2.89372802
2015-05-06,6425.79,6358.19,6528.69,6318.92,2098260000.0,34499140000.0,3.4183,-15.050000000000182,-0.23614363
2015-05-07,6337.16,6226.65,6361.92,6222.35,1989610000.0,30649880000.0,3.2262,-131.53999999999996,-2.06882776
2015-05-08,6333.9,6498.45,6498.45,6314.62,2167750000.0,34033980000.0,3.5091,271.8000000000002,4.36510804
2015-05-11,6548.11,6816.73,6816.73,6545.32,2854480000.0,48840620000.0,4.6208,318.27999999999975,4.89778332
2015-05-12,6883.1,6992.48,6993.03,6847.34,3121180000.0,54457470000.0,5.0525,175.75,2.57821565
2015-05-13,6975.99,7157.58,7235.51,6884.31,3347380000.0,60747660000.0,5.19,165.10000000000036,2.36110793
2015-05-14,7158.35,7153.14,7211.96,7062.85,2756140000.0,48827240000.0,4.2733,-4.4399999999996,-0.06203214
2015-05-15,7155.53,7057.78,7155.53,6983.8,2691710000.0,47181420000.0,4.1734,-95.36000000000058,-1.33312084
2015-05-18,7024.1,7072.58,7140.01,7002.6,2211990000.0,39303390000.0,3.4296,14.800000000000182,0.20969767
2015-05-19,7102.11,7261.52,7261.68,7076.71,2477300000.0,43480830000.0,3.841,188.9400000000005,2.6714438
2015-05-20,7305.25,7377.26,7509.06,7305.02,2982480000.0,54393240000.0,4.6242,115.73999999999978,1.59388117
2015-05-21,7402.05,7669.36,7670.0,7402.05,3092000000.0,55713670000.0,4.794,292.09999999999945,3.95946463
2015-05-22,7770.69,7848.34,7859.11,7613.63,3602760000.0,65771090000.0,5.5699,178.98000000000047,2.3337019
2015-05-25,7817.01,8050.19,8063.38,7769.7,3411360000.0,65411410000.0,5.274,201.84999999999945,2.57188144
2015-05-26,8093.71,8329.19,8330.24,8000.04,3591180000.0,69923060000.0,5.552,279.0000000000009,3.46575671
2015-05-27,8383.86,8402.69,8433.77,8196.64,3418710000.0,68005790000.0,5.2854,73.5,0.88243875
2015-05-28,8407.77,7773.42,8454.91,7772.78,3950570000.0,77279730000.0,6.1077,-629.2700000000004,-7.48891129
2015-05-29,7733.25,7741.6,7928.89,7360.52,2931300000.0,55540700000.0,4.5318,-31.81999999999971,-0.40934364
2015-06-01,7817.6,8129.72,8131.96,7803.55,2589690000.0,50429030000.0,3.9929,388.1199999999999,5.01343392
2015-06-02,8174.58,8478.7,8478.7,8126.43,3093980000.0,61161510000.0,4.7704,348.9800000000005,4.29264477
2015-06-03,8545.9,8535.22,8611.03,8338.25,3118240000.0,64760670000.0,4.8078,56.51999999999862,0.66661163
2015-06-04,8527.4,8436.34,8527.4,7933.7,2604610000.0,56944350000.0,4.0159,-98.8799999999992,-1.15849386
2015-06-05,8564.9,8566.49,8634.83,8360.47,2932890000.0,64797870000.0,4.522,130.14999999999964,1.54273062
2015-06-08,8589.81,8639.4,8659.83,8441.13,3217740000.0,69310550000.0,4.9504,72.90999999999985,0.85110705
2015-06-09,8626.76,8703.3,8744.76,8564.16,2717460000.0,59884360000.0,4.1808,63.899999999999636,0.7396347
2015-06-10,8665.51,8908.75,8999.15,8551.65,2960200000.0,65425480000.0,4.5554,205.45000000000073,2.36059885
2015-06-11,9010.36,9150.76,9171.23,7901.16,3308770000.0,75549080000.0,5.0918,242.01000000000022,2.71654272
2015-06-12,9138.58,9206.73,9266.55,9060.24,3148970000.0,70534960000.0,4.8459,55.969999999999345,0.61164319
2015-06-15,9232.81,9032.49,9245.44,9011.68,2761950000.0,62099330000.0,4.1902,-174.23999999999978,-1.89252862
2015-06-16,8927.35,8793.55,8993.73,8693.94,2586580000.0,57569570000.0,3.921,-238.9400000000005,-2.64533921
2015-06-17,8734.73,8903.67,8935.73,8430.24,2293850000.0,49691920000.0,3.4773,110.1200000000008,1.2522815
2015-06-18,8895.55,8617.82,8995.65,8607.85,2128220000.0,45497290000.0,3.2262,-285.85000000000036,-3.21047388
2015-06-19,8415.57,8019.04,8470.27,7987.68,2112120000.0,43909820000.0,3.2018,-598.7799999999997,-6.9481609
2015-06-23,7967.27,8045.14,8054.07,7464.06,2268870000.0,44905330000.0,3.4394,26.100000000000364,0.32547537
