日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,update_time
2021-11-18,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7724.03,7765.74,7686.14,7714.8,-10.3,-0.13,19850.44,2860.35,1000.0,28.58,2024-11-17 11:56:51
2021-11-19,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7709.31,7806.03,7705.84,7803.76,88.97,1.15,18800.11,2762.56,1000.0,28.91,2024-11-17 11:56:51
2021-11-22,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7822.96,7948.02,7822.96,7947.37,143.61,1.84,19040.03,3053.24,1000.0,29.44,2024-11-17 11:56:51
2021-11-23,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7950.25,7974.51,7933.2,7941.56,-5.81,-0.07,19342.2,3035.24,1000.0,29.43,2024-11-17 11:56:51
2021-11-24,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7939.59,7971.44,7917.68,7938.77,-2.79,-0.04,18860.57,2896.2,1000.0,29.43,2024-11-17 11:56:51
2021-11-25,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7937.4,7959.84,7919.66,7925.76,-13.01,-0.16,17583.82,2737.18,1000.0,29.36,2024-11-17 11:56:51
2021-11-26,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7912.89,7954.79,7906.35,7940.79,15.03,0.19,17391.68,2776.51,1000.0,29.44,2024-11-17 11:56:51
2021-11-29,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7837.39,7999.94,7828.92,7999.83,59.04,0.74,17645.34,2894.65,1000.0,29.67,2024-11-17 11:56:51
2021-11-30,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,8037.26,8082.9,7991.19,8054.29,54.46,0.68,19756.26,3094.04,1000.0,29.86,2024-11-17 11:56:51
2021-12-01,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,8050.89,8068.38,8000.81,8055.82,1.53,0.02,18907.49,2887.48,1000.0,29.86,2024-11-17 11:56:51
2021-12-02,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,8045.73,8046.25,7964.74,7968.24,-87.59,-1.09,18467.24,2737.91,1000.0,29.56,2024-11-17 11:56:51
2021-12-03,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7973.62,8034.69,7952.37,8023.96,55.73,0.7,17906.3,2650.04,1000.0,29.74,2024-11-17 11:56:51
2021-12-06,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,8018.46,8029.83,7899.91,7906.76,-117.21,-1.46,19152.03,2744.05,1000.0,29.32,2024-11-17 11:56:51
2021-12-07,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7937.23,7948.17,7713.92,7781.44,-125.31,-1.58,18239.0,2728.4,1000.0,28.88,2024-11-17 11:56:51
2021-12-08,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7806.38,7922.55,7803.44,7922.55,141.11,1.81,16130.71,2426.58,1000.0,29.39,2024-11-17 11:56:51
2021-12-09,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7924.53,7948.03,7903.68,7931.76,9.2,0.12,18125.22,2613.71,1000.0,29.44,2024-11-17 11:56:51
2021-12-10,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7898.64,7964.35,7886.13,7949.12,17.37,0.22,17346.58,2570.42,1000.0,29.51,2024-11-17 11:56:51
2021-12-13,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7963.48,8000.11,7936.62,7984.9,35.77,0.45,18952.21,2745.66,1000.0,28.86,2024-11-17 11:56:51
2021-12-14,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7969.6,7997.18,7952.75,7981.83,-3.07,-0.04,19321.25,2774.61,1000.0,28.85,2024-11-17 11:56:51
2021-12-15,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7982.1,8019.3,7942.94,7955.58,-26.25,-0.33,20020.7,2770.26,1000.0,28.76,2024-11-17 11:56:51
2021-12-16,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7966.5,8005.98,7959.18,8005.98,50.39,0.63,19486.52,2596.54,1000.0,28.94,2024-11-17 11:56:51
2021-12-17,000852,中证1000指数,中证1000,CSI 1000 Index,CSI 1000,7997.47,7997.47,7894.1,7894.1,-111.87,-1.4,20230.37,2649.34,1000.0,28.52,2024-11-17 11:56:51
