日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,4237.21,4277.84,4281.42,4208.05,12013020000.0,121855880000.0,2.9137,45.92000000000007,1.08508667
2015-01-06,4257.41,4340.78,4340.78,4233.06,11565780000.0,125838930000.0,2.7962,62.9399999999996,1.47130327
2015-01-07,4332.63,4342.54,4344.0,4306.84,9207150000.0,101959080000.0,2.223,1.7600000000002183,0.04054571
2015-01-08,4341.31,4325.66,4359.88,4303.18,9316420000.0,104560240000.0,2.2494,-16.88000000000011,-0.3887126
2015-01-09,4313.02,4291.83,4356.09,4291.83,8458480000.0,97273210000.0,2.0422,-33.82999999999993,-0.78207719
2015-01-12,4269.81,4231.0,4270.01,4211.53,7498820000.0,83597630000.0,1.8092,-60.82999999999993,-1.41734412
2015-01-13,4230.27,4302.56,4302.56,4230.21,6754250000.0,82090910000.0,1.6295,71.5600000000004,1.69132593
2015-01-14,4304.42,4283.79,4308.05,4264.18,6564980000.0,78316570000.0,1.5833,-18.770000000000437,-0.43625191
2015-01-15,4284.32,4319.71,4319.71,4284.29,6354780000.0,75760030000.0,1.5326,35.92000000000007,0.83850982
2015-01-16,4326.38,4369.67,4369.67,4324.33,8118420000.0,97826070000.0,1.9579,49.960000000000036,1.15655912
2015-01-19,4269.41,4229.08,4370.31,4177.91,10601280000.0,125717080000.0,2.5564,-140.59000000000015,-3.21740543
2015-01-20,4250.32,4388.24,4388.24,4249.95,9622700000.0,120796250000.0,2.3204,159.15999999999985,3.76346629
2015-01-21,4402.87,4485.16,4485.16,4402.53,11219950000.0,142666810000.0,2.7049,96.92000000000007,2.20863034
2015-01-22,4492.2,4559.53,4561.24,4486.6,11209150000.0,139821870000.0,2.7012,74.36999999999989,1.65813483
2015-01-23,4567.84,4518.67,4567.84,4502.19,11148610000.0,134119010000.0,2.6812,-40.85999999999967,-0.896145
2015-01-26,4525.38,4618.35,4618.35,4525.08,10732900000.0,130910380000.0,2.5809,99.68000000000029,2.20595883
2015-01-27,4628.23,4647.5,4648.48,4569.68,11920280000.0,147510080000.0,2.8663,29.149999999999636,0.6311778
2015-01-28,4636.93,4626.37,4668.94,4613.68,10010260000.0,128049040000.0,2.405,-21.13000000000011,-0.45465304
2015-01-29,4594.98,4600.09,4626.3,4579.83,9038790000.0,108382590000.0,2.171,-26.279999999999745,-0.56804795
2015-01-30,4603.08,4547.18,4622.09,4546.87,9179770000.0,105971750000.0,2.2049,-52.909999999999854,-1.15019489
2015-02-02,4499.31,4534.38,4559.28,4476.98,7942290000.0,93703400000.0,1.9076,-12.800000000000182,-0.28149315
2015-02-03,4546.58,4617.19,4618.55,4545.94,8605970000.0,109106260000.0,2.067,82.80999999999949,1.82626952
2015-02-04,4628.1,4610.01,4641.32,4606.47,8944870000.0,113388840000.0,2.1466,-7.1799999999993815,-0.15550584
2015-02-05,4641.99,4593.51,4655.32,4591.55,9954440000.0,126353060000.0,2.3886,-16.5,-0.35791679
2015-02-06,4580.75,4499.55,4594.69,4483.33,8620540000.0,106582200000.0,2.0688,-93.96000000000004,-2.04549462
2015-02-09,4487.7,4472.01,4511.44,4460.52,6255620000.0,80148440000.0,1.5012,-27.539999999999964,-0.61206121
2015-02-10,4469.23,4527.52,4527.52,4466.43,5649970000.0,70519950000.0,1.3557,55.51000000000022,1.24127629
2015-02-11,4533.78,4581.49,4581.49,4531.14,6630160000.0,86818880000.0,1.5909,53.969999999999345,1.19204333
2015-02-12,4585.03,4616.17,4619.18,4584.53,7057620000.0,93130630000.0,1.6933,34.68000000000029,0.75695898
2015-02-13,4636.26,4689.77,4701.0,4635.4,9277030000.0,121512560000.0,2.2258,73.60000000000036,1.59439535
2015-02-16,4699.63,4783.58,4783.58,4699.53,9236480000.0,125045350000.0,2.2156,93.80999999999949,2.00031132
2015-02-17,4798.27,4813.22,4813.66,4776.19,8684050000.0,114243170000.0,2.0829,29.640000000000327,0.61961962
2015-02-25,4824.35,4808.27,4843.69,4794.87,9178590000.0,120662090000.0,2.2002,-4.949999999999818,-0.10284176
2015-02-26,4805.02,4842.92,4842.92,4796.81,9577510000.0,121108100000.0,2.2946,34.649999999999636,0.72063341
2015-02-27,4845.12,4899.74,4899.74,4842.79,10648520000.0,137137450000.0,2.5511,56.81999999999971,1.17325911
2015-03-02,4932.78,5013.64,5013.64,4920.36,14561620000.0,188348400000.0,3.4877,113.90000000000055,2.32461314
2015-03-03,5003.32,4992.15,5059.32,4982.92,15653380000.0,200995710000.0,3.749,-21.49000000000069,-0.4286307
2015-03-04,4989.83,5075.46,5075.46,4989.83,13286550000.0,173951250000.0,3.1821,83.3100000000004,1.66882005
2015-03-05,5077.53,5098.2,5098.2,5051.77,13776990000.0,183290010000.0,3.2981,22.73999999999978,0.44803821
2015-03-06,5101.43,5036.97,5115.15,5031.17,12434110000.0,162664770000.0,2.9754,-61.22999999999956,-1.20101212
2015-03-09,5019.48,5104.88,5104.88,4998.61,11016050000.0,144917590000.0,2.6328,67.90999999999985,1.34823118
2015-03-10,5110.57,5171.26,5184.19,5106.47,11701600000.0,161454040000.0,2.7962,66.38000000000011,1.3003244
2015-03-11,5171.89,5169.69,5173.32,5146.98,11595500000.0,158968680000.0,2.7701,-1.5700000000006185,-0.03036011
2015-03-12,5170.85,5151.09,5188.14,5111.94,11587750000.0,158533420000.0,2.7687,-18.599999999999454,-0.35978947
2015-03-13,5162.16,5227.6,5227.6,5161.98,10726190000.0,149176760000.0,2.5587,76.51000000000022,1.4853167
2015-03-16,5263.82,5394.21,5394.21,5263.64,15700600000.0,220482050000.0,3.7432,166.60999999999967,3.1871222
2015-03-17,5426.06,5465.77,5487.96,5398.31,19409870000.0,264331380000.0,4.6237,71.5600000000004,1.3266076
2015-03-18,5470.19,5569.24,5569.24,5454.6,18499700000.0,252963570000.0,4.4052,103.46999999999935,1.89305441
2015-03-19,5570.41,5612.84,5612.84,5535.56,19098620000.0,258457960000.0,4.5402,43.600000000000364,0.78287163
2015-03-20,5613.1,5671.92,5679.31,5613.08,17679940000.0,249172830000.0,4.2011,59.07999999999993,1.05258657
2015-03-23,5702.39,5825.22,5825.22,5702.39,20227950000.0,292179120000.0,4.8047,153.30000000000018,2.70278847
2015-03-24,5843.37,5876.03,5883.68,5658.14,23846710000.0,346002560000.0,5.6632,50.80999999999949,0.87224174
2015-03-25,5877.02,5947.57,5982.22,5833.27,20184520000.0,308329850000.0,4.7917,71.53999999999996,1.21748868
2015-03-26,5912.4,5866.77,5964.98,5802.32,19168250000.0,300836980000.0,4.5497,-80.79999999999927,-1.35853802
2015-03-27,5858.54,5934.0,5937.67,5848.5,14855810000.0,227989990000.0,3.5255,67.22999999999956,1.14594572
2015-03-30,5948.24,5972.71,5979.26,5931.38,17965440000.0,270989170000.0,4.2545,38.710000000000036,0.65234243
2015-03-31,5992.93,5999.05,6054.17,5947.4,18674280000.0,282029690000.0,4.4239,26.340000000000146,0.44100584
2015-04-01,6000.13,6146.94,6150.77,6000.08,17508470000.0,274366830000.0,4.1303,147.88999999999942,2.46522366
2015-04-02,6177.53,6285.71,6285.76,6177.53,19660710000.0,309032360000.0,4.6374,138.77000000000044,2.25754603
2015-04-03,6266.44,6394.23,6394.88,6232.85,19538650000.0,315720500000.0,4.6067,108.51999999999953,1.72645572
2015-04-07,6424.81,6526.68,6526.68,6424.81,20606210000.0,332660460000.0,4.8538,132.45000000000073,2.07139875
2015-04-08,6548.78,6440.78,6550.86,6321.06,21044230000.0,343272870000.0,4.9508,-85.90000000000055,-1.31613623
2015-04-09,6438.56,6373.13,6438.56,6144.41,19842280000.0,317602650000.0,4.6624,-67.64999999999964,-1.05033862
2015-04-10,6352.9,6538.3,6548.79,6318.02,17472020000.0,285657080000.0,4.1013,165.17000000000007,2.59166218
2015-04-13,6574.14,6688.34,6705.19,6559.13,20392220000.0,334587290000.0,4.7717,150.03999999999996,2.29478611
2015-04-14,6693.86,6686.58,6756.37,6629.32,20312360000.0,329613060000.0,4.7528,-1.7600000000002183,-0.02631445
2015-04-15,6672.28,6433.72,6672.28,6417.7,18214710000.0,290622160000.0,4.2602,-252.85999999999967,-3.78160435
2015-04-16,6351.8,6511.61,6576.18,6270.44,15831130000.0,249958950000.0,3.6939,77.88999999999942,1.21065262
2015-04-17,6560.24,6541.99,6598.62,6505.34,19067550000.0,300143800000.0,4.4371,30.38000000000011,0.46655128
2015-04-20,6521.79,6408.87,6574.24,6383.82,21111570000.0,323566030000.0,4.9108,-133.1199999999999,-2.03485484
2015-04-21,6415.05,6642.53,6642.53,6414.76,17552390000.0,276201050000.0,4.0764,233.65999999999985,3.64588453
2015-04-22,6697.75,6831.1,6832.39,6697.28,21546120000.0,340355370000.0,5.001,188.57000000000062,2.83882798
2015-04-23,6859.07,6908.39,6941.86,6813.65,21945140000.0,354163000000.0,5.0818,77.28999999999996,1.13144296
2015-04-24,6828.22,6909.67,6932.83,6773.14,19875620000.0,325986870000.0,4.5896,1.2799999999997453,0.0185282
2015-04-27,6963.98,6952.4,7023.81,6891.1,19518340000.0,325771650000.0,4.5011,42.72999999999956,0.61840869
2015-04-28,6962.85,6745.74,6964.17,6678.26,19656380000.0,315683050000.0,4.5201,-206.65999999999985,-2.97249871
