日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,update_time
2021-10-26,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7120.07,7155.63,7085.07,7102.43,-1.55,-0.02,17503.22,2049.98,500.0,18.72,2024-10-25 09:19:09
2021-10-27,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7093.12,7097.86,7017.86,7048.6,-53.83,-0.76,17902.09,2125.24,500.0,18.58,2024-10-25 09:19:09
2021-10-28,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7026.29,7043.42,6930.54,6950.28,-98.33,-1.39,18807.53,2103.81,500.0,18.32,2024-10-25 09:19:09
2021-10-29,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,6955.85,7022.75,6920.31,7022.5,72.22,1.04,17077.95,2070.12,500.0,18.47,2024-10-25 09:19:09
2021-11-01,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7005.07,7087.29,6993.27,7060.76,38.26,0.54,18414.3,2265.34,500.0,17.94,2024-10-25 09:19:09
2021-11-02,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7061.0,7093.61,6921.85,6985.1,-75.66,-1.07,19611.47,2306.34,500.0,17.76,2024-10-25 09:19:09
2021-11-03,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,6975.06,7034.09,6962.87,7017.85,32.75,0.47,15081.46,1835.31,500.0,17.87,2024-10-25 09:19:09
2021-11-04,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7031.95,7073.85,7018.61,7073.85,56.0,0.8,15265.2,1885.33,500.0,17.76,2024-10-25 09:19:09
2021-11-05,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7071.08,7073.85,6991.15,6991.91,-81.94,-1.16,17724.14,2073.0,500.0,17.5,2024-10-25 09:19:09
2021-11-08,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,6986.5,7034.14,6984.81,7026.97,35.06,0.5,14636.09,1768.1,500.0,17.57,2024-10-25 09:19:09
2021-11-09,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7037.57,7087.02,7028.31,7081.75,54.78,0.78,14169.68,1756.2,500.0,17.71,2024-10-25 09:19:09
2021-11-10,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7061.64,7072.15,6965.86,7062.33,-19.42,-0.27,16213.84,1871.22,500.0,17.66,2024-10-25 09:19:09
2021-11-11,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7048.86,7121.92,7033.09,7119.86,57.53,0.81,16540.07,1866.38,500.0,17.83,2024-10-25 09:19:09
2021-11-12,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7118.99,7165.11,7112.58,7156.61,36.75,0.52,16851.34,1952.5,500.0,17.9,2024-10-25 09:19:09
2021-11-15,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7166.04,7176.77,7083.78,7098.21,-58.4,-0.82,16114.82,2019.4,500.0,17.75,2024-10-25 09:19:09
2021-11-16,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7083.92,7121.74,7040.51,7045.94,-52.27,-0.74,16237.03,1920.32,500.0,17.62,2024-10-25 09:19:09
2021-11-17,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7043.63,7106.05,7033.95,7104.53,58.6,0.83,14034.71,1688.75,500.0,17.76,2024-10-25 09:19:09
2021-11-18,000905,中证小盘500指数,中证500,CSI Smallcap 500 Index,CSI 500,7108.78,7130.29,7066.49,7084.68,-19.85,-0.28,16271.49,1851.53,500.0,17.72,2024-10-25 09:19:09
