日期,开盘价,最高价,最低价,收盘价,涨跌幅,成交量,成交额,update_time
2021-11-30,6200.23,6237.87,6163.82,6189.27,-0.0008,16196.22,1357.69,2024-11-29 15:17:02
2021-12-01,6179.99,6254.84,6179.35,6254.69,0.0106,15006.14,1274.47,2024-11-29 15:17:02
2021-12-02,6239.24,6311.48,6231.2,6295.52,0.006500000000000001,16843.78,1460.43,2024-11-29 15:17:02
2021-12-03,6299.67,6349.41,6258.08,6349.41,0.0086,19195.69,1589.49,2024-11-29 15:17:02
2021-12-06,6370.12,6444.76,6363.28,6368.16,0.003,21902.26,1853.06,2024-11-29 15:17:02
2021-12-07,6423.25,6454.18,6369.4,6446.67,0.0123,21471.19,1865.88,2024-11-29 15:17:02
2021-12-08,6453.45,6462.05,6406.86,6459.95,0.0021,17553.73,1569.78,2024-11-29 15:17:02
2021-12-09,6463.08,6551.78,6452.45,6514.15,0.0084,20129.67,1786.77,2024-11-29 15:17:02
2021-12-10,6481.2,6512.03,6457.2,6477.75,-0.005600000000000001,19413.76,1619.56,2024-11-29 15:17:02
2021-12-13,6521.69,6581.59,6494.36,6500.73,0.0034999999999999996,19632.7,1743.88,2024-11-29 15:17:02
2021-12-14,6479.15,6479.15,6414.47,6423.17,-0.011899999999999999,15907.55,1379.14,2024-11-29 15:17:02
2021-12-15,6412.68,6455.06,6409.25,6436.62,0.0021,15136.92,1287.37,2024-11-29 15:17:02
2021-12-16,6443.04,6510.0,6434.4,6510.0,0.011399999999999999,17294.86,1389.54,2024-11-29 15:17:02
2021-12-17,6506.96,6531.8,6468.38,6469.72,-0.0062,17926.43,1474.69,2024-11-29 15:17:02
2021-12-20,6454.2,6492.73,6416.18,6425.07,-0.0069,18599.18,1464.6,2024-11-29 15:17:02
2021-12-21,6421.04,6520.63,6421.04,6508.7,0.013000000000000001,18590.64,1370.75,2024-11-29 15:17:02
2021-12-22,6516.71,6516.9,6457.28,6475.44,-0.0051,16145.3,1218.7,2024-11-29 15:17:02
2021-12-23,6476.17,6516.47,6471.2,6513.45,0.0059,16623.5,1348.42,2024-11-29 15:17:02
2021-12-24,6511.5,6511.5,6463.2,6469.88,-0.0067,15699.08,1297.47,2024-11-29 15:17:02
2021-12-27,6468.76,6512.81,6462.61,6482.97,0.002,14199.06,1259.26,2024-11-29 15:17:02
2021-12-28,6489.83,6493.7,6455.31,6486.06,0.0005,14185.73,1237.45,2024-11-29 15:17:02
2021-12-29,6483.67,6483.67,6425.82,6425.82,-0.009300000000000001,12101.02,1069.11,2024-11-29 15:17:02
2021-12-30,6427.11,6475.7,6426.34,6453.84,0.0044,12556.01,1115.85,2024-11-29 15:17:02
2021-12-31,6459.79,6508.02,6459.56,6498.07,0.0069,13618.63,1193.88,2024-11-29 15:17:02
2022-01-04,6513.87,6546.75,6485.57,6536.75,0.006,17771.76,1537.8,2024-11-29 15:17:02
2022-01-05,6531.83,6591.65,6524.06,6544.1,0.0011,18927.06,1719.83,2024-11-29 15:17:02
2022-01-06,6524.73,6560.59,6513.34,6533.23,-0.0017000000000000001,17284.66,1500.12,2024-11-29 15:17:02
2022-01-07,6544.77,6650.01,6544.77,6620.02,0.013300000000000001,22028.71,1854.01,2024-11-29 15:17:02
2022-01-10,6626.99,6681.04,6601.27,6651.8,0.0048,17329.67,1494.92,2024-11-29 15:17:02
2022-01-11,6650.3,6724.58,6637.88,6651.47,0.0,17198.47,1499.87,2024-11-29 15:17:02
2022-01-12,6658.73,6661.89,6574.35,6634.39,-0.0026,15413.53,1329.24,2024-11-29 15:17:02
2022-01-13,6636.05,6677.78,6583.31,6584.05,-0.0076,16290.37,1379.89,2024-11-29 15:17:02
2022-01-14,6569.28,6569.28,6459.86,6464.53,-0.0182,16655.5,1399.2,2024-11-29 15:17:02
2022-01-17,6465.75,6507.23,6465.66,6495.34,0.0048,12079.7,1093.21,2024-11-29 15:17:02
2022-01-18,6495.42,6606.76,6480.47,6589.8,0.014499999999999999,17289.96,1446.91,2024-11-29 15:17:02
2022-01-19,6592.37,6650.68,6591.75,6624.0,0.0052,16334.75,1435.25,2024-11-29 15:17:02
2022-01-20,6624.65,6724.89,6624.51,6694.86,0.010700000000000001,18724.13,1686.08,2024-11-29 15:17:02
2022-01-21,6677.46,6682.19,6613.41,6626.56,-0.0102,14535.65,1276.88,2024-11-29 15:17:02
2022-01-24,6608.88,6646.85,6570.21,6617.88,-0.0013,12295.35,1051.55,2024-11-29 15:17:02
2022-01-25,6587.01,6588.35,6430.29,6430.3,-0.028300000000000002,14370.54,1173.96,2024-11-29 15:17:02
2022-01-26,6452.73,6491.79,6423.92,6481.11,0.0079,11715.94,969.13,2024-11-29 15:17:02
2022-01-27,6464.4,6470.84,6391.26,6392.15,-0.0137,12039.89,1018.11,2024-11-29 15:17:02
2022-01-28,6421.11,6434.65,6306.63,6310.38,-0.0128,13276.8,1082.68,2024-11-29 15:17:02
2022-02-07,6395.69,6504.44,6395.69,6499.63,0.03,16680.31,1284.08,2024-11-29 15:17:02
2022-02-08,6503.92,6607.25,6489.77,6606.95,0.0165,19016.13,1405.92,2024-11-29 15:17:02
2022-02-09,6607.6,6660.2,6601.54,6634.7,0.0042,17751.35,1385.55,2024-11-29 15:17:02
2022-02-10,6632.03,6687.89,6599.17,6687.78,0.008,17616.64,1394.71,2024-11-29 15:17:02
2022-02-11,6676.18,6769.1,6667.89,6706.1,0.0027,18019.68,1583.19,2024-11-29 15:17:02
2022-02-14,6681.56,6681.56,6536.98,6559.92,-0.0218,15595.91,1285.92,2024-11-29 15:17:02
2022-02-15,6548.8,6564.88,6485.0,6519.93,-0.0060999999999999995,12304.37,1031.85,2024-11-29 15:17:02
2022-02-16,6540.2,6598.3,6537.94,6573.73,0.0083,11406.92,931.4,2024-11-29 15:17:02
2022-02-17,6572.71,6589.42,6545.29,6555.51,-0.0028000000000000004,11883.57,985.81,2024-11-29 15:17:02
2022-02-18,6528.02,6648.14,6522.16,6648.12,0.0141,13967.85,1108.53,2024-11-29 15:17:02
2022-02-21,6635.11,6646.15,6580.75,6640.71,-0.0011,13105.96,1074.61,2024-11-29 15:17:02
2022-02-22,6597.55,6607.34,6525.52,6563.18,-0.011699999999999999,13929.29,1160.91,2024-11-29 15:17:02
2022-02-23,6565.42,6573.42,6519.25,6550.95,-0.0019,13301.73,1111.03,2024-11-29 15:17:02
2022-02-24,6521.71,6533.14,6388.83,6431.05,-0.0183,20154.71,1595.58,2024-11-29 15:17:02
2022-02-25,6451.22,6489.53,6405.12,6428.84,-0.0003,16417.05,1295.07,2024-11-29 15:17:02
2022-02-28,6423.08,6437.59,6366.63,6430.61,0.0003,14416.14,1162.47,2024-11-29 15:17:02
2022-03-01,6439.86,6487.58,6417.92,6482.76,0.008100000000000001,13895.89,1150.61,2024-11-29 15:17:02
2022-03-02,6458.45,6495.72,6454.25,6479.26,-0.0005,14317.34,1138.78,2024-11-29 15:17:02
2022-03-03,6501.04,6545.43,6501.04,6538.18,0.0091,20219.62,1489.06,2024-11-29 15:17:02
2022-03-04,6505.26,6505.26,6434.55,6471.11,-0.0103,17577.83,1354.76,2024-11-29 15:17:02
2022-03-07,6457.43,6464.52,6349.89,6370.73,-0.0155,18527.68,1499.05,2024-11-29 15:17:02
