日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,update_time
2021-10-21,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4914.74,4946.18,4893.85,4928.02,17.83,0.36,14889.82,2748.03,300.0,14.04,2024-10-20 17:02:09
2021-10-22,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4934.87,4989.89,4934.87,4959.73,31.71,0.64,14392.62,2892.53,300.0,14.09,2024-10-20 17:02:09
2021-10-25,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4940.9,4981.65,4930.11,4979.52,19.8,0.4,14186.15,2994.08,300.0,14.16,2024-10-20 17:02:09
2021-10-26,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4983.24,5002.57,4953.48,4963.1,-16.43,-0.33,14088.89,3017.86,300.0,14.11,2024-10-20 17:02:09
2021-10-27,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4949.23,4949.23,4884.94,4898.16,-64.93,-1.31,14711.16,2994.6,300.0,13.94,2024-10-20 17:02:09
2021-10-28,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4882.59,4898.66,4846.28,4864.14,-34.03,-0.69,15664.95,3166.32,300.0,13.81,2024-10-20 17:02:09
2021-10-29,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4861.27,4908.77,4855.76,4908.77,44.63,0.92,15988.74,3687.32,300.0,13.91,2024-10-20 17:02:09
2021-11-01,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4878.13,4908.21,4858.25,4890.69,-18.09,-0.37,17158.4,3797.31,300.0,13.72,2024-10-20 17:02:09
2021-11-02,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4886.18,4911.23,4797.9,4839.85,-50.84,-1.04,18543.77,3857.32,300.0,13.57,2024-10-20 17:02:09
2021-11-03,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4835.81,4858.71,4804.37,4821.11,-18.73,-0.39,14276.38,3022.7,300.0,13.52,2024-10-20 17:02:09
2021-11-04,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4841.09,4873.94,4834.74,4868.74,47.63,0.99,13259.3,3086.88,300.0,13.64,2024-10-20 17:02:09
2021-11-05,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4858.9,4889.68,4841.74,4842.35,-26.4,-0.54,14778.94,3120.71,300.0,13.55,2024-10-20 17:02:09
2021-11-08,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4841.15,4866.08,4827.69,4848.18,5.83,0.12,13739.83,2958.94,300.0,13.56,2024-10-20 17:02:09
2021-11-09,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4858.25,4870.79,4818.54,4846.74,-1.44,-0.03,11837.55,2616.45,300.0,13.56,2024-10-20 17:02:09
2021-11-10,000300,沪深300指数,沪深300,CSI 300 Index,CSI 300,4832.8,4832.8,4754.0,4821.19,-25.55,-0.53,13511.82,3010.59,300.0,13.48,2024-10-20 17:02:09
