日期,指数代码,指数中文全称,指数中文简称,指数英文全称,指数英文简称,开盘,最高,最低,收盘,涨跌,涨跌幅,成交量,成交金额,样本数量,滚动市盈率,update_time
2021-11-13,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2487.92,2496.69,2479.57,2496.13,,0.58,16559.23,2062.99,,,2024-11-12 23:41:52
2021-11-15,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2487.92,2496.69,2479.57,2496.13,,0.58,16559.23,2062.99,,,2024-11-12 23:41:52
2021-11-16,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2494.04,2495.95,2471.95,2472.1,,-0.96,16176.6,1982.32,,,2024-11-12 23:41:52
2021-11-17,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2471.81,2523.37,2471.81,2523.37,,2.07,15855.77,1924.81,,,2024-11-12 23:41:52
2021-11-18,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2524.3,2529.47,2512.15,2512.15,,-0.45,16835.92,2084.39,,,2024-11-12 23:41:52
2021-11-19,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2509.02,2542.06,2509.02,2542.06,,1.19,15792.79,1982.31,,,2024-11-12 23:41:52
2021-11-22,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2545.47,2575.03,2542.83,2574.76,,1.29,15932.05,2049.03,,,2024-11-12 23:41:52
2021-11-23,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2573.6,2588.81,2569.55,2580.22,,0.21,16144.48,2125.32,,,2024-11-12 23:41:52
2021-11-24,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2579.38,2586.75,2570.15,2580.41,,0.01,16199.75,2068.84,,,2024-11-12 23:41:52
2021-11-25,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2582.46,2596.39,2579.18,2583.57,,0.12,16104.89,2034.85,,,2024-11-12 23:41:52
2021-11-26,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2578.83,2592.05,2576.0,2587.89,,0.17,15960.99,2035.2,,,2024-11-12 23:41:52
2021-11-29,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2550.84,2602.56,2550.84,2602.1,,0.55,16079.41,2065.64,,,2024-11-12 23:41:52
2021-11-30,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2614.04,2639.53,2612.82,2624.98,,0.88,17428.87,2240.2,,,2024-11-12 23:41:52
2021-12-01,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2619.77,2650.21,2619.77,2650.21,,0.96,17128.85,2156.06,,,2024-11-12 23:41:52
2021-12-02,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2646.08,2646.08,2605.62,2605.62,,-1.68,17552.92,2162.94,,,2024-11-12 23:41:52
2021-12-03,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2606.41,2622.94,2599.39,2616.14,,0.4,15617.02,1886.25,,,2024-11-12 23:41:52
2021-12-06,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2615.74,2615.74,2569.15,2571.55,,-1.7,16061.7,1941.19,,,2024-11-12 23:41:52
2021-12-07,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2581.79,2581.79,2513.38,2533.6,,-1.48,15490.86,1871.9,,,2024-11-12 23:41:52
2021-12-08,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2539.33,2575.83,2536.59,2575.83,,1.67,13938.03,1709.91,,,2024-11-12 23:41:52
2021-12-09,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2577.05,2580.59,2572.34,2575.17,,-0.03,15207.06,1821.53,,,2024-11-12 23:41:52
2021-12-10,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2568.38,2592.77,2566.43,2590.98,,0.61,14818.24,1811.76,,,2024-11-12 23:41:52
2021-12-13,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2595.77,2607.93,2584.07,2607.41,,0.63,18126.86,2101.7,,,2024-11-12 23:41:52
2021-12-14,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2606.18,2625.93,2606.18,2624.6,,0.66,18989.06,2195.43,,,2024-11-12 23:41:52
2021-12-15,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2623.14,2643.79,2623.14,2631.07,,0.25,20564.01,2246.62,,,2024-11-12 23:41:52
2021-12-16,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2633.79,2653.71,2632.86,2653.71,,0.86,20394.99,2235.96,,,2024-11-12 23:41:52
2021-12-17,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2652.89,2652.89,2631.34,2631.34,,-0.84,21829.16,2347.61,,,2024-11-12 23:41:52
2021-12-20,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2627.09,2636.8,2597.41,2597.41,,-1.29,22326.72,2281.07,,,2024-11-12 23:41:52
2021-12-21,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2596.95,2638.49,2596.95,2638.49,,1.58,21759.65,2088.34,,,2024-11-12 23:41:52
2021-12-22,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2644.61,2654.56,2638.55,2650.82,,0.47,23800.44,2300.03,,,2024-11-12 23:41:52
2021-12-23,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2648.75,2649.83,2636.3,2639.05,,-0.44,21461.38,2173.05,,,2024-11-12 23:41:52
2021-12-24,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2642.87,2642.87,2583.35,2583.35,,-2.11,23117.46,2328.26,,,2024-11-12 23:41:52
2021-12-27,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2579.68,2609.21,2571.71,2599.67,,0.63,19255.58,1985.86,,,2024-11-12 23:41:52
2021-12-28,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2602.69,2623.66,2600.58,2623.63,,0.92,18646.71,1994.69,,,2024-11-12 23:41:52
2021-12-29,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2621.45,2633.7,2613.84,2626.22,,0.1,19083.73,1970.35,,,2024-11-12 23:41:52
2021-12-30,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2627.99,2660.97,2627.99,2653.58,,1.04,19806.55,2086.48,,,2024-11-12 23:41:52
2021-12-31,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2660.35,2676.25,2659.85,2666.97,,0.51,20852.13,2189.88,,,2024-11-12 23:41:52
2022-01-04,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2675.37,2700.24,2675.37,2697.72,,1.15,24542.73,2488.07,,,2024-11-12 23:41:52
2022-01-05,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2697.06,2697.06,2624.8,2648.98,,-1.81,25086.28,2613.27,,,2024-11-12 23:41:52
2022-01-06,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2633.51,2683.06,2633.51,2677.44,,1.07,21312.77,2258.56,,,2024-11-12 23:41:52
2022-01-07,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2678.35,2681.78,2613.93,2613.93,,-2.37,23578.98,2411.54,,,2024-11-12 23:41:52
2022-01-10,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2606.51,2637.91,2589.96,2636.21,,0.85,18439.18,1923.78,,,2024-11-12 23:41:52
2022-01-11,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2638.05,2656.26,2620.55,2625.64,,-0.4,19843.29,2081.4,,,2024-11-12 23:41:52
2022-01-12,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2630.66,2670.57,2630.66,2670.57,,1.71,20480.81,2108.96,,,2024-11-12 23:41:52
2022-01-13,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2673.06,2673.06,2645.95,2645.95,,-0.92,21362.48,2210.54,,,2024-11-12 23:41:52
2022-01-14,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2638.72,2669.97,2638.72,2646.77,,0.03,22091.71,2299.01,,,2024-11-12 23:41:52
2022-01-17,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2654.3,2696.87,2654.3,2696.87,,1.89,20981.61,2346.52,,,2024-11-12 23:41:52
2022-01-18,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2698.61,2698.61,2642.38,2644.51,,-1.94,22829.37,2589.52,,,2024-11-12 23:41:52
2022-01-19,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2631.5,2654.08,2628.67,2644.31,,-0.01,19684.9,2146.14,,,2024-11-12 23:41:52
2022-01-20,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2642.53,2642.53,2562.87,2562.87,,-3.08,21736.44,2317.49,,,2024-11-12 23:41:52
2022-01-21,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2552.97,2562.21,2528.67,2529.1,,-1.32,17660.96,1850.47,,,2024-11-12 23:41:52
2022-01-24,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2515.09,2539.0,2511.55,2527.24,,-0.07,14825.73,1533.63,,,2024-11-12 23:41:52
2022-01-25,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2517.61,2517.61,2413.96,2413.96,,-4.48,17957.39,1823.93,,,2024-11-12 23:41:52
2022-01-26,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2418.2,2439.5,2405.71,2430.75,,0.7,14339.49,1463.17,,,2024-11-12 23:41:52
2022-01-27,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2431.18,2431.18,2348.84,2349.39,,-3.35,14878.9,1494.4,,,2024-11-12 23:41:52
2022-01-28,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2358.95,2410.25,2337.08,2388.82,,1.68,14433.25,1415.85,,,2024-11-12 23:41:52
2022-02-07,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2418.24,2421.77,2398.84,2416.39,,1.15,14804.87,1423.9,,,2024-11-12 23:41:52
2022-02-08,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2415.63,2452.94,2406.81,2452.94,,1.51,16362.08,1573.0,,,2024-11-12 23:41:52
2022-02-09,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2453.04,2492.53,2450.94,2492.53,,1.61,17117.8,1732.82,,,2024-11-12 23:41:52
2022-02-10,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2492.18,2492.18,2465.27,2477.76,,-0.59,16519.59,1749.21,,,2024-11-12 23:41:52
2022-02-11,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2467.14,2467.14,2413.06,2416.48,,-2.47,18085.69,1839.15,,,2024-11-12 23:41:52
2022-02-14,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2405.64,2438.79,2405.64,2423.69,,0.3,15906.14,1609.11,,,2024-11-12 23:41:52
2022-02-15,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2426.54,2438.75,2414.12,2435.13,,0.47,15907.29,1606.16,,,2024-11-12 23:41:52
2022-02-16,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2446.0,2474.73,2446.0,2471.61,,1.5,16846.55,1752.45,,,2024-11-12 23:41:52
2022-02-17,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2467.42,2487.28,2464.6,2468.67,,-0.12,19183.52,1985.28,,,2024-11-12 23:41:52
2022-02-18,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2454.72,2485.35,2454.72,2485.35,,0.68,15880.58,1682.62,,,2024-11-12 23:41:52
2022-02-21,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2488.26,2529.35,2488.26,2529.35,,1.77,18526.04,1931.37,,,2024-11-12 23:41:52
2022-02-22,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2515.7,2515.7,2487.7,2504.18,,-1.0,19339.11,2081.21,,,2024-11-12 23:41:52
2022-02-23,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2509.34,2552.49,2509.34,2552.47,,1.93,19899.32,2190.92,,,2024-11-12 23:41:52
2022-02-24,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2541.25,2566.62,2454.64,2486.11,,-2.6,27906.16,2870.36,,,2024-11-12 23:41:52
2022-02-25,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2500.3,2530.3,2500.3,2513.57,,1.1,19690.55,2060.27,,,2024-11-12 23:41:52
2022-02-28,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2516.52,2518.07,2480.58,2517.85,,0.17,18521.96,1971.79,,,2024-11-12 23:41:52
2022-03-01,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2522.07,2540.29,2521.69,2540.29,,0.89,17699.33,1979.21,,,2024-11-12 23:41:52
2022-03-02,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2530.72,2556.45,2530.12,2556.08,,0.62,19309.56,2035.6,,,2024-11-12 23:41:52
2022-03-03,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2564.06,2564.06,2542.84,2544.77,,-0.44,21173.27,2216.27,,,2024-11-12 23:41:52
2022-03-04,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2534.09,2543.26,2501.44,2508.66,,-1.42,21112.84,2158.87,,,2024-11-12 23:41:52
2022-03-07,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2502.04,2503.44,2464.53,2475.19,,-1.33,19346.89,1947.99,,,2024-11-12 23:41:52
2022-03-08,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2471.68,2471.68,2390.51,2391.85,,-3.37,21040.8,2127.99,,,2024-11-12 23:41:52
2022-03-09,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2393.34,2401.77,2264.67,2366.5,,-1.06,22176.15,2154.12,,,2024-11-12 23:41:52
2022-03-10,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2408.09,2431.72,2406.79,2412.38,,1.94,20925.55,2165.69,,,2024-11-12 23:41:52
2022-03-11,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2381.3,2430.89,2359.8,2428.58,,0.67,20726.24,2092.7,,,2024-11-12 23:41:52
2022-03-14,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2416.2,2416.2,2359.57,2359.57,,-2.84,19448.74,2038.7,,,2024-11-12 23:41:52
2022-03-15,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2342.17,2351.85,2245.15,2245.15,,-4.85,21633.37,2111.62,,,2024-11-12 23:41:52
2022-03-16,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2278.01,2323.41,2215.07,2319.59,,3.32,22209.33,2231.16,,,2024-11-12 23:41:52
2022-03-17,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2337.53,2394.35,2337.53,2361.48,,1.81,23443.16,2525.37,,,2024-11-12 23:41:52
2022-03-18,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2350.72,2393.03,2350.72,2388.51,,1.14,20148.56,2053.9,,,2024-11-12 23:41:52
2022-03-21,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2392.11,2429.04,2392.11,2429.04,,1.7,21601.22,2209.46,,,2024-11-12 23:41:52
2022-03-22,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2427.26,2436.25,2408.03,2422.9,,-0.25,21461.44,2215.44,,,2024-11-12 23:41:52
2022-03-23,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2425.35,2441.16,2422.69,2430.67,,0.32,21343.36,2195.98,,,2024-11-12 23:41:52
2022-03-24,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2417.81,2417.81,2396.26,2400.77,,-1.23,20528.35,2066.55,,,2024-11-12 23:41:52
2022-03-25,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2401.78,2424.86,2391.5,2391.5,,-0.39,21377.3,2138.17,,,2024-11-12 23:41:52
2022-03-28,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2380.59,2397.56,2353.78,2379.82,,-0.49,19601.42,1905.84,,,2024-11-12 23:41:52
2022-03-29,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2383.35,2385.58,2353.89,2360.05,,-0.83,19782.97,1946.31,,,2024-11-12 23:41:52
2022-03-30,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2365.2,2396.13,2356.91,2396.13,,1.53,19917.88,2000.35,,,2024-11-12 23:41:52
2022-03-31,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2391.69,2410.85,2386.02,2391.28,,-0.2,22406.58,2271.89,,,2024-11-12 23:41:52
2022-04-01,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2377.29,2383.02,2371.58,2376.23,,-0.63,21214.13,2039.72,,,2024-11-12 23:41:52
2022-04-06,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2372.3,2399.47,2372.3,2399.47,,0.98,21310.38,1997.57,,,2024-11-12 23:41:52
2022-04-07,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2389.19,2389.19,2332.82,2332.82,,-2.78,20958.65,1952.12,,,2024-11-12 23:41:52
2022-04-08,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2330.75,2330.75,2286.57,2312.14,,-0.89,20020.59,1877.14,,,2024-11-12 23:41:52
2022-04-11,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2302.97,2302.97,2233.24,2245.48,,-2.88,20280.66,1842.14,,,2024-11-12 23:41:52
2022-04-12,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2240.95,2281.52,2228.27,2281.52,,1.61,19708.58,1760.1,,,2024-11-12 23:41:52
2022-04-13,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2270.75,2270.75,2232.15,2232.15,,-2.16,19718.07,1766.04,,,2024-11-12 23:41:52
2022-04-14,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2239.05,2262.69,2239.05,2252.78,,0.92,17753.25,1594.52,,,2024-11-12 23:41:52
2022-04-15,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2241.99,2241.99,2195.48,2201.1,,-2.29,19588.39,1854.74,,,2024-11-12 23:41:52
2022-04-18,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2188.25,2222.64,2174.56,2220.89,,0.9,15804.42,1493.11,,,2024-11-12 23:41:52
2022-04-19,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2218.82,2243.0,2218.82,2239.52,,0.84,16475.99,1558.78,,,2024-11-12 23:41:52
2022-04-20,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2237.1,2247.87,2208.17,2214.68,,-1.11,18073.26,1649.74,,,2024-11-12 23:41:52
2022-04-21,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2204.12,2205.77,2113.7,2119.28,,-4.31,19473.3,1714.78,,,2024-11-12 23:41:52
2022-04-22,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2104.06,2114.17,2076.67,2088.05,,-1.47,16606.72,1447.23,,,2024-11-12 23:41:52
2022-04-25,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,2054.52,2054.52,1921.28,1921.28,,-7.99,19984.79,1608.08,,,2024-11-12 23:41:52
2022-04-26,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1916.59,1918.61,1839.64,1845.89,,-3.92,18267.37,1449.67,,,2024-11-12 23:41:52
2022-04-27,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1815.73,1907.29,1795.22,1907.29,,3.33,19420.19,1511.66,,,2024-11-12 23:41:52
2022-04-28,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1889.81,1898.02,1851.45,1868.7,,-2.02,16906.13,1357.98,,,2024-11-12 23:41:52
2022-04-29,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1879.91,1960.75,1879.91,1953.11,,4.52,18395.86,1506.38,,,2024-11-12 23:41:52
2022-05-05,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1953.5,2006.94,1953.5,1993.72,,2.08,16526.88,1443.51,,,2024-11-12 23:41:52
2022-05-06,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1949.46,1990.96,1949.46,1976.37,,-0.87,16033.57,1406.42,,,2024-11-12 23:41:52
2022-05-09,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1978.18,2019.42,1978.18,2014.38,,1.92,14956.48,1330.17,,,2024-11-12 23:41:52
2022-05-10,932000,中证2000指数,中证2000,CSI 2000 Index,CSI 2000,1991.34,2052.59,1991.34,2052.59,,1.9,17349.44,1546.42,,,2024-11-12 23:41:52
