日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG,FREE_FLOAT_SHARES
2015-01-05,3595.1575,3654.6299,3672.2215,3572.5686,74831499881.0,826771832512.0,2.3398,81.14799999999968,2.27083842,1225818166200.0
2015-01-06,3627.6158,3680.1953,3688.3084,3605.1603,71203816559.0,819208779365.0,2.2184,25.565399999999954,0.69953458,1236180626646.0
2015-01-07,3665.8584,3683.243,3694.6701,3645.4142,55909763162.0,664679203718.0,1.7405,3.047700000000077,0.08281354,1238758246891.0
2015-01-08,3685.6769,3627.0515,3692.1095,3614.6056,53429236030.0,620777745634.0,1.6631,-56.191499999999905,-1.5255985,1238968295200.0
2015-01-09,3615.6982,3609.9161,3715.4633,3606.9303,57081787349.0,683823071672.0,1.7765,-17.135400000000118,-0.47243332,1239284369156.0
2015-01-12,3593.8504,3567.8895,3607.3529,3531.01,46066954332.0,556782024888.0,1.4335,-42.02659999999969,-1.1641988,1239698901570.0
2015-01-13,3563.776,3592.8609,3606.6483,3563.776,35416397519.0,459509237460.0,1.1019,24.971399999999903,0.69989275,1240193634557.0
2015-01-14,3597.7564,3579.5579,3614.5034,3553.9687,35759951206.0,436577279147.0,1.1247,-13.303000000000338,-0.37026204,1240287953903.0
2015-01-15,3578.9692,3655.1497,3655.1497,3571.0203,39787007311.0,493149379003.0,1.2664,75.59180000000015,2.11176358,1240396510781.0
2015-01-16,3664.6661,3695.2903,3709.7949,3658.1842,47874536773.0,591990759917.0,1.5114,40.14060000000018,1.09819305,1240499811631.0
2015-01-19,3523.2846,3473.0615,3600.7159,3440.1102,58676045489.0,663613364587.0,1.8475,-222.22880000000032,-6.01383875,1240971667820.0
2015-01-20,3468.1339,3557.0899,3557.1059,3468.1339,52785903831.0,667389558425.0,1.6671,84.02840000000015,2.41943311,1241361983492.0
2015-01-21,3577.0809,3689.6525,3694.2108,3574.0794,61301137162.0,766985746208.0,1.9299,132.5626000000002,3.72671492,1242004490258.0
2015-01-22,3693.1535,3728.6869,3733.0924,3677.2957,53899283771.0,678243718349.0,1.6917,39.034400000000005,1.05794245,1242368923683.0
2015-01-23,3740.6004,3715.779,3763.3859,3696.331,54410522989.0,679246477227.0,1.7052,-12.907900000000154,-0.34617817,1244964598281.0
2015-01-26,3722.392,3774.7591,3775.3731,3716.9275,49485307565.0,616498533643.0,1.547,58.98010000000022,1.58728762,1246643890557.0
2015-01-27,3781.6785,3765.2033,3788.5467,3697.7498,57340573397.0,701288113600.0,1.7896,-9.55580000000009,-0.25314993,1247100902337.0
2015-01-28,3745.0273,3727.6734,3776.5378,3716.0005,46532158250.0,582419955902.0,1.4524,-37.5299,-0.99675627,1248966166540.0
2015-01-29,3685.385,3691.8513,3714.5375,3667.558,42762290023.0,506519000135.0,1.3339,-35.82210000000032,-0.96097743,1249391261007.0
2015-01-30,3703.2033,3643.7429,3719.4536,3643.7053,41006398211.0,489283685953.0,1.2787,-48.10839999999962,-1.3030969,1249915467928.0
2015-02-02,3581.9938,3590.2271,3631.764,3569.1219,38104959315.0,448426461761.0,1.1887,-53.51580000000013,-1.46870406,1250317631079.0
2015-02-03,3615.2295,3671.0827,3672.1401,3605.2641,39055183780.0,495973289777.0,1.2193,80.85559999999987,2.25210266,1250385529561.0
2015-02-04,3679.9402,3646.7561,3704.1044,3645.3309,40194207712.0,514379029193.0,1.2524,-24.32659999999987,-0.66265464,1252457688617.0
2015-02-05,3688.767,3621.22,3704.1749,3621.22,47905753935.0,610971090717.0,1.4899,-25.53610000000026,-0.70024151,1253626832991.0
2015-02-06,3608.0929,3551.7317,3618.6694,3529.9943,39429507521.0,483884386034.0,1.2264,-69.48829999999998,-1.91891959,1255293726961.0
2015-02-09,3542.9476,3558.7899,3583.4076,3536.133,32400483116.000004,420254794925.0,1.0076,7.058200000000397,0.1987256,1255429871755.0
2015-02-10,3556.3195,3616.748,3616.7496,3552.5808,29971316038.0,385886600255.0,0.932,57.95809999999983,1.6285901,1255375097108.0
2015-02-11,3624.2378,3655.3307,3661.6663,3623.5089,29854469439.999996,398262067498.0,0.9279,38.58269999999993,1.06677877,1255852180468.0
2015-02-12,3657.8902,3676.1756,3683.0031,3642.1007,32538789569.0,424003420427.0,1.0122,20.844900000000052,0.57026031,1255919173207.0
2015-02-13,3694.0247,3723.4267,3749.4661,3694.0247,42483343010.0,544281444419.99994,1.3198,47.25109999999995,1.28533305,1258825490950.0
2015-02-16,3730.4256,3777.7856,3778.6914,3730.4256,38754651217.0,525261386290.0,1.2017,54.358900000000176,1.45991594,1261555027915.0
2015-02-17,3791.4657,3806.6345,3814.1639,3791.4657,37505327310.0,497651461508.0,1.1613,28.848899999999958,0.76364577,1262164339264.0
2015-02-25,3816.0259,3778.5016,3816.0259,3764.9029,38345077191.0,503267596571.0,1.1861,-28.132900000000063,-0.73904915,1262748957104.0
2015-02-26,3774.3565,3845.9309,3847.1918,3765.7702,46348818529.0,580283085144.0,1.4338,67.42929999999978,1.78455132,1263446048442.0
