日期,OPEN,CLOSE,HIGH,LOW,VOLUME,AMT,TURN,CHG,PCT_CHG
2015-01-05,3736.341,3813.864,3833.612,3731.173,16325190329.0,214837241807.7,3.4752,102.55000000000018,2.76317229
2015-01-06,3781.021,3831.236,3854.519,3758.147,14942515601.0,202732564403.2,3.1807,17.371999999999844,0.45549605
2015-01-07,3808.08,3805.544,3827.639,3769.263,10482515255.0,143166700406.69998,2.2313,-25.692000000000007,-0.67059299
2015-01-08,3807.926,3748.651,3812.905,3734.832,10162028970.0,135239499336.8,2.1631,-56.89300000000003,-1.49500308
2015-01-09,3736.804,3742.062,3855.547,3734.13,12053080165.0,162942100147.30002,2.5656,-6.588999999999942,-0.1757699
2015-01-12,3726.788,3721.82,3752.148,3672.554,9262835758.0,127484596825.0,1.9712,-20.241999999999734,-0.54093171
2015-01-13,3715.562,3750.758,3763.878,3715.562,7325429822.0,109468974274.7,1.5589,28.937999999999647,0.77752282
2015-01-14,3758.806,3739.313,3784.376,3715.14,7333899738.0,106652400656.20001,1.5604,-11.444999999999709,-0.30513832
2015-01-15,3738.885,3807.245,3807.273,3728.957,8246585245.999999,112338693306.9,1.7546,67.93199999999979,1.81669735
2015-01-16,3811.677,3844.74,3857.721,3806.664,10001516811.0,141776601159.1,2.128,37.49499999999989,0.98483286
2015-01-19,3669.751,3624.088,3766.438,3588.63,12998340273.0,178853219153.69998,2.7599,-220.6519999999996,-5.73906168
2015-01-20,3639.468,3730.667,3732.256,3637.031,11182178983.0,160953459496.4,2.3743,106.57899999999972,2.94085022
2015-01-21,3745.77,3844.341,3852.344,3738.068,12189673746.0,178045955386.8,2.5882,113.67399999999998,3.04701545
2015-01-22,3842.504,3870.147,3881.91,3836.011,10088449798.0,149078818915.1,2.1419,25.80600000000004,0.6712724
2015-01-23,3876.003,3852.524,3895.754,3834.159,10046222847.0,143591486634.2,2.1329,-17.623000000000047,-0.45535738
2015-01-26,3859.923,3900.917,3901.427,3853.183,8762185234.0,130198308409.4,1.8603,48.39300000000003,1.25613753
2015-01-27,3910.109,3869.79,3910.961,3806.377,10640610058.0,150297285658.4,2.2591,-31.126999999999953,-0.79794059
2015-01-28,3845.129,3823.547,3874.898,3811.608,8288107009.999999,119631789170.1,1.7588,-46.24299999999994,-1.1949744
2015-01-29,3780.704,3778.988,3808.532,3759.122,7565470470.0,104386790801.1,1.6055,-44.5590000000002,-1.16538387
2015-01-30,3792.449,3749.965,3811.686,3742.37,7639932415.000001,105585738427.1,1.6213,-29.022999999999683,-0.76800985
2015-02-02,3683.288,3700.725,3742.934,3675.789,7262133750.0,98647685878.6,1.5411,-49.24000000000024,-1.31307892
2015-02-03,3728.288,3773.379,3773.594,3714.669,7534097298.0,109633467831.9,1.5988,72.654,1.96323693
2015-02-04,3781.233,3738.132,3798.371,3737.407,7223516659.999999,107677134717.8,1.5326,-35.246999999999844,-0.93409647
2015-02-05,3809.635,3715.161,3812.023,3714.904,9666284425.0,141976718193.5,2.0509,-22.971000000000004,-0.61450478
2015-02-06,3706.264,3656.239,3717.779,3636.094,7319819864.0,103280205429.0,1.5531,-58.922000000000025,-1.58598779
2015-02-09,3652.666,3665.49,3688.116,3647.581,5920780245.0,86464446743.59999,1.2559,9.250999999999749,0.25301956
2015-02-10,3666.874,3732.222,3732.469,3665.591,5842445713.0,82448039018.5,1.2393,66.73200000000043,1.82054787
2015-02-11,3737.049,3765.655,3774.495,3737.049,6695009110.0,94001817559.9,1.4201,33.43299999999999,0.89579344
